transaction_id,user_id,item_id,purchase_price,quantity,rating,interaction_type,device,purchase_time,timestamp,timestamp_epoch,total_amount,interaction_weight,device_code,implicit_rating
TXN_100001,1024.0,508,17.51,2,4.5,view,mobile_app,2024-02-05 16:31:05,2024-02-05 16:31:05,1707150665,35.02,1.0,0,4.5
TXN_100002,1049.0,502,54.88,1,5.0,purchase,web,2024-02-09 20:10:50,2024-02-09 20:10:50,1707509450,54.88,3.0,1,15.0
TXN_100003,1044.0,514,37.43,3,3.4,view,web,2024-04-08 12:38:29,2024-04-08 12:38:29,1712579909,112.29,1.0,1,3.4
TXN_100004,1034.0,509,40.33,2,4.7,view,mobile_app,2024-01-03 21:46:07,2024-01-03 21:46:07,1704318367,80.66,1.0,0,4.7
TXN_100005,1044.0,518,82.5,2,4.6,view,mobile_app,2024-06-13 10:07:18,2024-06-13 10:07:18,1718273238,165.0,1.0,0,4.6
TXN_100006,1028.0,506,19.03,5,3.3,view,web,2024-03-08 16:48:11,2024-03-08 16:48:11,1709916491,95.15,1.0,1,3.3
TXN_100007,1033.0,504,70.63,1,3.6,purchase,mobile_app,2024-03-17 20:32:38,2024-03-17 20:32:38,1710707558,70.63,3.0,0,10.8
TXN_100008,1013.0,505,93.1,1,3.6,purchase,web,2024-02-11 17:49:59,2024-02-11 17:49:59,1707673799,93.1,3.0,1,10.8
TXN_100009,1034.0,501,32.12,3,3.5,purchase,web,2024-05-05 00:07:59,2024-05-05 00:07:59,1714867679,96.36,3.0,1,10.5
TXN_100010,1024.0,510,42.59,2,4.2,purchase,mobile_app,2024-03-02 18:05:05,2024-03-02 18:05:05,1709402705,85.18,3.0,0,12.600000000000001
TXN_100011,1047.0,516,63.13,4,3.8,view,mobile_app,2024-05-16 04:08:42,2024-05-16 04:08:42,1715832522,252.52,1.0,0,3.8
TXN_100012,1031.0,518,77.55,1,5.0,view,web,2024-05-15 19:27:13,2024-05-15 19:27:13,1715801233,77.55,1.0,1,5.0
TXN_100013,1035.0,507,37.18,1,3.5,view,web,2024-04-12 21:41:23,2024-04-12 21:41:23,1712958083,37.18,1.0,1,3.5
TXN_100014,1029.0,517,46.84,2,4.5,view,web,2024-03-04 07:04:21,2024-03-04 07:04:21,1709535861,93.68,1.0,1,4.5
TXN_100015,1002.0,519,53.07,2,4.2,add_to_cart,mobile_app,2024-05-30 07:00:04,2024-05-30 07:00:04,1717052404,106.14,2.0,0,8.4
TXN_100016,1046.0,502,51.36,4,5.0,view,mobile_app,2024-01-09 10:04:32,2024-01-09 10:04:32,1704794672,205.44,1.0,0,5.0
TXN_100017,1016.0,509,39.11,2,4.9,view,web,2024-02-24 17:08:46,2024-02-24 17:08:46,1708794526,78.22,1.0,1,4.9
TXN_100018,1037.0,519,52.62,1,4.9,add_to_cart,mobile_app,2024-05-01 13:12:06,2024-05-01 13:12:06,1714569126,52.62,2.0,0,9.8
TXN_100019,1007.0,514,36.48,5,4.9,add_to_cart,web,2024-04-15 14:55:46,2024-04-15 14:55:46,1713192946,182.4,2.0,1,9.8
TXN_100020,1004.0,504,64.84,3,4.9,view,web,2024-03-27 03:15:12,2024-03-27 03:15:12,1711509312,194.52,1.0,1,4.9
TXN_100021,1013.0,518,79.94,1,4.2,add_to_cart,mobile_app,2024-04-18 05:17:29,2024-04-18 05:17:29,1713417449,79.94,2.0,0,8.4
TXN_100022,1016.0,503,12.27,1,1.6,view,web,2024-05-20 03:03:41,2024-05-20 03:03:41,1716174221,12.27,1.0,1,1.6
TXN_100023,1035.0,501,33.36,3,1.0,view,mobile_app,2024-03-01 05:26:31,2024-03-01 05:26:31,1709270791,100.08,1.0,0,1.0
TXN_100024,1031.0,507,37.76,2,3.1,view,web,2024-01-16 05:24:00,2024-01-16 05:24:00,1705382640,75.52,1.0,1,3.1
TXN_100025,1025.0,509,40.15,2,3.2,view,web,2024-04-26 09:27:44,2024-04-26 09:27:44,1714123664,80.3,1.0,1,3.2
TXN_100026,1047.0,518,81.75,1,3.1,view,mobile_app,2024-05-04 04:12:18,2024-05-04 04:12:18,1714795938,81.75,1.0,0,3.1
TXN_100027,1014.0,502,53.31,1,4.5,view,mobile_app,2024-05-18 01:47:20,2024-05-18 01:47:20,1715996840,53.31,1.0,0,4.5
TXN_100028,1004.0,502,53.34,1,3.6,view,mobile_app,2024-05-08 16:10:03,2024-05-08 16:10:03,1715184603,53.34,1.0,0,3.6
TXN_100029,1033.0,503,12.8,1,3.0,view,mobile_app,2024-01-18 19:04:43,2024-01-18 19:04:43,1705604683,12.8,1.0,0,3.0
TXN_100030,1016.0,513,25.68,2,3.4,add_to_cart,web,2024-05-25 07:37:38,2024-05-25 07:37:38,1716622658,51.36,2.0,1,6.8
TXN_100031,1003.0,520,18.99,3,2.8,purchase,mobile_app,2024-06-17 18:36:33,2024-06-17 18:36:33,1718649393,56.97,3.0,0,8.399999999999999
TXN_100032,1021.0,509,37.23,1,3.8,view,web,2024-03-21 07:16:25,2024-03-21 07:16:25,1711005385,37.23,1.0,1,3.8
TXN_100033,1009.0,510,43.6,4,2.2,purchase,web,2024-01-19 00:29:39,2024-01-19 00:29:39,1705624179,174.4,3.0,1,6.6000000000000005
TXN_100034,1037.0,504,64.93,1,5.0,view,mobile_app,2024-02-24 16:16:08,2024-02-24 16:16:08,1708791368,64.93,1.0,0,5.0
TXN_100035,1023.0,503,12.83,4,4.5,view,web,2024-04-04 09:10:28,2024-04-04 09:10:28,1712221828,51.32,1.0,1,4.5
TXN_100036,1035.0,510,44.31,1,3.2,add_to_cart,web,2024-06-16 16:00:42,2024-06-16 16:00:42,1718553642,44.31,2.0,1,6.4
TXN_100037,1036.0,510,45.79,1,5.0,view,web,2024-01-27 04:16:07,2024-01-27 04:16:07,1706328967,45.79,1.0,1,5.0
TXN_100039,1022.0,507,37.08,1,3.3,view,web,2024-03-08 16:31:16,2024-03-08 16:31:16,1709915476,37.08,1.0,1,3.3
TXN_100040,1004.0,503,12.51,1,3.8,purchase,mobile_app,2024-03-11 01:00:21,2024-03-11 01:00:21,1710118821,12.51,3.0,0,11.399999999999999
TXN_100041,1050.0,505,95.72,1,2.9,add_to_cart,web,2024-03-08 05:47:28,2024-03-08 05:47:28,1709876848,95.72,2.0,1,5.8
TXN_100042,1036.0,514,37.29,1,4.2,view,web,2024-01-29 02:56:44,2024-01-29 02:56:44,1706497004,37.29,1.0,1,4.2
TXN_100043,1010.0,518,76.45,2,4.2,view,mobile_app,2024-04-04 18:35:09,2024-04-04 18:35:09,1712255709,152.9,1.0,0,4.2
TXN_100044,1028.0,505,89.8,3,4.0,view,mobile_app,2024-04-03 01:57:22,2024-04-03 01:57:22,1712109442,269.4,1.0,0,4.0
TXN_100045,1014.0,508,16.93,2,4.1,add_to_cart,mobile_app,2024-03-31 17:56:55,2024-03-31 17:56:55,1711907815,33.86,2.0,0,8.2
TXN_100046,1027.0,520,20.39,3,4.1,purchase,mobile_app,2024-03-01 05:51:51,2024-03-01 05:51:51,1709272311,61.17,3.0,0,12.299999999999999
TXN_100047,1012.0,514,35.2,1,3.6,add_to_cart,mobile_app,2024-03-26 13:51:42,2024-03-26 13:51:42,1711461102,35.2,2.0,0,7.2
TXN_100048,1048.0,508,16.23,2,4.5,purchase,mobile_app,2024-06-28 03:24:55,2024-06-28 03:24:55,1719545095,32.46,3.0,0,13.5
TXN_100049,1003.0,516,59.31,1,3.5,view,web,2024-04-27 11:19:52,2024-04-27 11:19:52,1714216792,59.31,1.0,1,3.5
TXN_100050,1015.0,508,15.8,2,4.9,view,web,2024-02-19 12:21:17,2024-02-19 12:21:17,1708345277,31.6,1.0,1,4.9
TXN_100051,1005.0,509,37.83,1,5.0,view,mobile_app,2024-05-10 12:43:53,2024-05-10 12:43:53,1715345033,37.83,1.0,0,5.0
TXN_100052,1035.0,511,56.43,2,2.6,view,mobile_app,2024-01-30 08:11:37,2024-01-30 08:11:37,1706602297,112.86,1.0,0,2.6
TXN_100053,1017.0,502,50.69,4,5.0,view,web,2024-04-21 11:46:50,2024-04-21 11:46:50,1713700010,202.76,1.0,1,5.0
TXN_100054,1021.0,514,37.46,1,2.6,add_to_cart,web,2024-05-10 03:24:57,2024-05-10 03:24:57,1715311497,37.46,2.0,1,5.2
TXN_100055,1037.0,507,35.43,1,4.7,view,web,2024-04-21 00:33:59,2024-04-21 00:33:59,1713659639,35.43,1.0,1,4.7
TXN_100056,1035.0,507,35.85,1,3.8,purchase,mobile_app,2024-01-18 21:58:21,2024-01-18 21:58:21,1705615101,35.85,3.0,0,11.399999999999999
TXN_100057,1040.0,511,54.86,1,4.5,view,web,2024-02-01 23:57:19,2024-02-01 23:57:19,1706831839,54.86,1.0,1,4.5
TXN_100058,1033.0,510,44.56,1,4.5,view,web,2024-03-24 12:44:18,2024-03-24 12:44:18,1711284258,44.56,1.0,1,4.5
TXN_100059,1036.0,505,91.29,1,3.8,add_to_cart,mobile_app,2024-06-19 12:43:47,2024-06-19 12:43:47,1718801027,91.29,2.0,0,7.6
TXN_100060,1012.0,520,20.01,2,3.4,view,web,2024-04-13 17:53:00,2024-04-13 17:53:00,1713030780,40.02,1.0,1,3.4
TXN_100061,1020.0,510,42.46,1,2.7,purchase,mobile_app,2024-05-28 19:41:20,2024-05-28 19:41:20,1716925280,42.46,3.0,0,8.100000000000001
TXN_100062,1030.0,515,11.09,5,3.6,purchase,mobile_app,2024-02-24 16:30:50,2024-02-24 16:30:50,1708792250,55.45,3.0,0,10.8
TXN_100063,1048.0,506,19.44,2,4.0,purchase,mobile_app,2024-03-13 16:42:40,2024-03-13 16:42:40,1710348160,38.88,3.0,0,12.0
TXN_100064,1040.0,511,51.62,1,3.9,purchase,mobile_app,2024-03-01 21:19:14,2024-03-01 21:19:14,1709327954,51.62,3.0,0,11.7
TXN_100068,1001.0,504,69.97,1,5.0,add_to_cart,mobile_app,2024-02-26 05:51:44,2024-02-26 05:51:44,1708926704,69.97,2.0,0,10.0
TXN_100069,1034.0,515,10.63,1,2.6,view,web,2024-03-04 03:29:08,2024-03-04 03:29:08,1709522948,10.63,1.0,1,2.6
TXN_100070,1030.0,517,49.5,2,5.0,view,mobile_app,2024-06-01 10:48:57,2024-06-01 10:48:57,1717238937,99.0,1.0,0,5.0
TXN_100071,1029.0,520,20.52,1,4.0,add_to_cart,mobile_app,2024-05-09 13:53:58,2024-05-09 13:53:58,1715262838,20.52,2.0,0,8.0
