user_id,age,gender,signup_date,membership_tier
1001,33,M,2023-07-14,Silver
1002,64,M,2023-07-03,Gold
1003,43,F,2023-11-06,Platinum
1004,62,F,2024-02-18,Bronze
1005,32,M,2024-01-09,Bronze
1006,42,F,2023-10-02,Platinum
1007,41,M,2024-05-13,Bronze
1008,25,F,2023-02-10,Bronze
1009,28,Non-Binary,2023-05-31,Bronze
1010,25,Non-Binary,2023-11-13,Silver
1011,50,F,2023-10-23,Silver
1012,59,M,2023-12-27,Bronze
1013,58,M,2023-01-24,Gold
1014,26,Non-Binary,2023-04-27,Silver
1015,51,F,2023-02-10,Bronze
1016,40,M,2024-03-19,Silver
1017,54,M,2023-07-14,Silver
1018,57,F,2023-08-21,Bronze
1019,52,Non-Binary,2024-03-03,Bronze
1020,54,F,2023-03-25,Platinum
1021,20,F,2023-07-01,Silver
1022,43,M,2023-12-10,Bronze
1023,31,F,2023-12-26,Bronze
1024,26,Non-Binary,2023-11-28,Silver
1025,43,M,2023-11-08,Bronze
1026,30,Non-Binary,2023-03-29,Bronze
1027,49,Non-Binary,2024-01-09,Silver
1028,49,M,2023-03-25,Silver
1029,54,F,2023-07-14,Bronze
1030,62,F,2024-04-18,Silver
1031,46,Non-Binary,2023-12-19,Bronze
1032,49,Non-Binary,2023-04-23,Silver
1033,39,Non-Binary,2023-06-16,Gold
1034,59,M,2023-04-28,Gold
1035,23,M,2024-02-17,Bronze
1036,61,F,2023-07-25,Bronze
1037,47,F,2023-02-03,Gold
1038,45,M,2024-04-12,Bronze
1039,50,Non-Binary,2024-03-24,Bronze
1040,44,Non-Binary,2023-06-11,Bronze
1041,30,M,2023-12-02,Gold
1042,56,F,2023-07-22,Bronze
1043,44,Non-Binary,2023-08-23,Bronze
1044,54,M,2023-05-16,Silver
1045,59,M,2023-05-07,Bronze
1046,32,Non-Binary,2023-10-15,Bronze
1047,49,Non-Binary,2023-05-15,Silver
1048,58,Non-Binary,2023-10-27,Bronze
1049,29,F,2024-04-04,Bronze
1050,19,Non-Binary,2023-07-24,Silver
